25 3 5

16 154 40 20

0 188.0 307.0
1 374.0 351.0
2 296.0 139.0
3 332.0 126.0
4 432.0 79.0
5 488.0 442.0
6 46.0 341.0
7 302.0 147.0
8 23.0 181.0
9 22.0 127.0
10 81.0 497.0
11 95.0 442.0
12 433.0 165.0
13 469.0 31.0
14 330.0 255.0
15 453.0 66.0
16 238.0 455.0
17 368.0 229.0
18 3.0 60.0
19 420.0 207.0
20 385.0 346.0
21 69.0 76.0
22 148.0 186.0
23 322.0 339.0
24 204.0 436.0
25 250.0 391.0


0 7 12 11.0
1 5 4 3.0
2 8 3 3.0
3 10 3 4.0
4 10 5 7.0

1 0.02 0.02 0.02 0.02 0.02
2 0.03 0.03 0.03 0.03 0.03
3 0.03 0.03 0.03 0.03 0.03
4 0.02 0.02 0.02 0.02 0.02
5 0.02 0.02 0.02 0.02 0.02
6 0.03 0.03 0.03 0.03 0.03
7 0.04 0.04 0.04 0.04 0.04
8 0.04 0.04 0.04 0.04 0.04
9 0.02 0.02 0.02 0.02 0.02
10 0.04 0.04 0.04 0.04 0.04
11 0.02 0.02 0.02 0.02 0.02
12 0.02 0.02 0.02 0.02 0.02
13 0.02 0.02 0.02 0.02 0.02
14 0.03 0.03 0.03 0.03 0.03
15 0.02 0.02 0.02 0.02 0.02
16 0.04 0.04 0.04 0.04 0.04
17 0.01 0.01 0.01 0.01 0.01
18 0.04 0.04 0.04 0.04 0.04
19 0.04 0.04 0.04 0.04 0.04
20 0.02 0.02 0.02 0.02 0.02
21 0.04 0.04 0.04 0.04 0.04
22 0.05 0.05 0.05 0.05 0.05
23 0.02 0.02 0.02 0.02 0.02
24 0.03 0.03 0.03 0.03 0.03
25 0.02 0.02 0.02 0.02 0.02

1 2 2 0 1 1
2 2 1 1 1 4
3 1 4 0 3 2
4 3 1 0 2 2
5 1 2 1 0 2
6 1 2 5 2 1
7 3 3 1 1 3
8 2 1 1 0 3
9 3 0 5 3 0
10 0 1 0 0 3
11 3 1 1 1 3
12 1 5 3 2 4
13 0 0 0 7 1
14 0 1 0 5 2
15 1 1 3 3 1
16 3 1 1 1 1
17 1 1 2 2 2
18 1 0 1 4 2
19 2 1 2 0 6
20 3 0 2 2 2
21 2 3 3 0 2
22 3 4 3 1 2
23 1 3 1 1 1
24 0 2 1 1 1
25 2 2 5 0 1

0 1 0 0 0 0
1 0 1 0 0 1
2 1 1 0 1 0

0 0 0 1 1 1
1 1 1 0 0 1
2 1 0 0 0 2

0 0 3 0 1 0
1 0 0 0 1 0
2 1 1 0 1 2

0 0 0 0 1 1
1 2 1 0 1 0
2 1 0 0 0 1

0 0 0 0 0 1
1 0 1 1 0 0
2 1 1 0 0 1

0 0 0 3 1 0
1 1 1 2 0 1
2 0 1 0 1 0

0 1 1 0 0 1
1 1 2 0 0 2
2 1 0 1 1 0

0 0 0 0 0 1
1 1 0 1 0 2
2 1 1 0 0 0

0 2 0 3 0 0
1 0 0 1 0 0
2 1 0 1 3 0

0 0 0 0 0 1
1 0 0 0 0 1
2 0 1 0 0 1

0 1 0 0 0 2
1 2 1 0 1 1
2 0 0 1 0 0

0 1 1 1 1 1
1 0 2 0 1 2
2 0 2 2 0 1

0 0 0 0 2 1
1 0 0 0 3 0
2 0 0 0 2 0

0 0 0 0 4 0
1 0 0 0 0 1
2 0 1 0 1 1

0 0 1 0 0 0
1 1 0 1 1 1
2 0 0 2 2 0

0 1 0 1 0 0
1 1 0 0 1 0
2 1 1 0 0 1

0 1 1 1 1 1
1 0 0 0 1 0
2 0 0 1 0 1

0 0 0 0 1 2
1 1 0 0 2 0
2 0 0 1 1 0

0 1 1 1 0 2
1 0 0 1 0 0
2 1 0 0 0 4

0 2 0 1 1 0
1 0 0 0 0 2
2 1 0 1 1 0

0 1 0 1 0 2
1 0 1 0 0 0
2 1 2 2 0 0

0 0 2 0 1 0
1 2 1 2 0 0
2 1 1 1 0 2

0 1 1 1 1 0
1 0 1 0 0 0
2 0 1 0 0 1

0 0 1 0 1 1
1 0 0 1 0 0
2 0 1 0 0 0

0 0 1 0 0 0
1 0 1 3 0 0
2 2 0 2 0 1


S_abs1n25_2_L3_5_16
