5 3 5

2 190 40 20

0 154.0 417.0
1 172.0 334.0
2 267.0 87.0
3 148.0 433.0
4 355.0 444.0
5 38.0 152.0


0 8 2 2.0
1 15 2 4.0
2 4 12 6.0
3 14 4 8.0
4 7 2 2.0

1 0.04 0.08 0.12 0.16 0.04
2 0.06 0.12 0.18 0.24 0.06
3 0.06 0.12 0.18 0.24 0.06
4 0.04 0.08 0.12 0.16 0.04
5 0.04 0.08 0.12 0.16 0.04

1 0 0 1 1 3
2 0 3 1 2 3
3 2 3 3 1 3
4 2 2 2 0 1
5 2 4 4 1 2

0 0 0 0 0 1
1 0 0 0 1 2
2 0 0 1 0 0

0 0 1 0 2 1
1 0 1 1 0 2
2 0 1 0 0 0

0 0 2 1 0 1
1 2 0 0 1 2
2 0 1 2 0 0

0 0 1 2 0 0
1 1 1 0 0 0
2 1 0 0 0 1

0 1 1 1 0 2
1 1 2 0 0 0
2 0 1 3 1 0


S_abs1n5_2_L3_5_2
